# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)   1.232 us    |                  _raw_spin_lock_irqsave();
 0)   4.780 us    |                  __of_match_node.part.0();
 0)   1.208 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.805 us   |                }
 0) + 14.070 us   |              }
 0) + 16.470 us   |            }
 0) + 18.792 us   |          }
 0)   1.172 us    |          _raw_spin_lock_irqsave();
 0)   1.295 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.153 us    |              of_match_device();
 0)   3.518 us    |            }
 0)   6.000 us    |          }
 0)   1.229 us    |          _raw_spin_lock_irqsave();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.199 us    |                  _raw_spin_lock_irqsave();
 0)   3.282 us    |                  __of_match_node.part.0();
 0)   1.242 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.175 us   |                }
 0) + 12.421 us   |              }
 0) + 14.758 us   |            }
 0) + 17.035 us   |          }
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.192 us    |                  _raw_spin_lock_irqsave();
 0)   3.875 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.988 us   |                }
 0) + 13.232 us   |              }
 0) + 15.605 us   |            }
 0) + 18.025 us   |          }
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.173 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.217 us    |                  _raw_spin_lock_irqsave();
 0)   3.240 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 12.285 us   |                }
 0) + 14.612 us   |              }
 0) + 17.017 us   |            }
 0) + 19.302 us   |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.192 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   3.478 us    |                  __of_match_node.part.0();
 0)   1.167 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.461 us   |                }
 0) + 12.725 us   |              }
 0) + 15.035 us   |            }
 0) + 17.387 us   |          }
 0)   1.230 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   7.128 us    |                  __of_match_node.part.0();
 0)   1.287 us    |                  _raw_spin_unlock_irqrestore();
 0) + 14.116 us   |                }
 0) + 16.402 us   |              }
 0) + 18.708 us   |            }
 0) + 21.027 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) ! 190.000 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.355 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.210 us    |            rpm_check_suspend_allowed();
 0)   3.560 us    |          }
 0)   1.221 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.088 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.166 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.169 us    |            rpm_check_suspend_allowed();
 0)   3.412 us    |          }
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.401 us   |        }
 0)   1.200 us    |        mutex_unlock();
 0) ! 230.881 us  |      }
 0) ! 233.912 us  |    }
 0)   1.242 us    |    mutex_lock();
 0)   1.195 us    |    mutex_unlock();
 0) ! 243.534 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.288 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.222 us    |          _raw_spin_lock_irqsave();
 0)   1.315 us    |          rpm_resume();
 0)   1.208 us    |          _raw_spin_unlock_irqrestore();
 0)   8.285 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.210 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.258 us    |                  _raw_spin_lock_irqsave();
 0)   3.561 us    |                  __of_match_node.part.0();
 0)   1.165 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.650 us   |                }
 0) + 12.965 us   |              }
 0) + 15.363 us   |            }
 0) + 17.778 us   |          }
 0)   1.200 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.192 us    |                  _raw_spin_lock_irqsave();
 0)   4.797 us    |                  __of_match_node.part.0();
 0)   1.212 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.813 us   |                }
 0) + 14.025 us   |              }
 0) + 16.391 us   |            }
 0) + 18.833 us   |          }
 0)   1.172 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.153 us    |              of_match_device();
 0)   3.537 us    |            }
 0)   5.977 us    |          }
 0)   1.248 us    |          _raw_spin_lock_irqsave();
 0)   1.215 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.193 us    |                  _raw_spin_lock_irqsave();
 0)   3.288 us    |                  __of_match_node.part.0();
 0)   1.206 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.183 us   |                }
 0) + 12.468 us   |              }
 0) + 14.867 us   |            }
 0) + 17.265 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   3.385 us    |                  __of_match_node.part.0();
 0)   1.193 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.318 us   |                }
 0) + 12.573 us   |              }
 0) + 14.921 us   |            }
 0) + 17.240 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.228 us    |                  _raw_spin_lock_irqsave();
 0)   3.428 us    |                  __of_match_node.part.0();
 0)   1.193 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.444 us   |                }
 0) + 12.710 us   |              }
 0) + 14.995 us   |            }
 0) + 17.280 us   |          }
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.189 us    |                  _raw_spin_lock_irqsave();
 0)   3.261 us    |                  __of_match_node.part.0();
 0)   1.195 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.208 us   |                }
 0) + 12.444 us   |              }
 0) + 14.744 us   |            }
 0) + 17.130 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.199 us    |                  _raw_spin_lock_irqsave();
 0)   7.143 us    |                  __of_match_node.part.0();
 0)   1.235 us    |                  _raw_spin_unlock_irqrestore();
 0) + 14.239 us   |                }
 0) + 16.523 us   |              }
 0) + 18.888 us   |            }
 0) + 21.205 us   |          }
 0)   1.303 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) ! 188.272 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.217 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.203 us    |            rpm_check_suspend_allowed();
 0)   3.531 us    |          }
 0)   1.195 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.757 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.198 us    |            rpm_check_suspend_allowed();
 0)   3.440 us    |          }
 0)   1.177 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.429 us   |        }
 0)   1.179 us    |        mutex_unlock();
 0) ! 229.193 us  |      }
 0) ! 231.666 us  |    }
 0)   1.243 us    |    mutex_lock();
 0)   1.338 us    |    mutex_unlock();
 0) ! 240.869 us  |  }
 0)               |  bus_probe_device() {
